Source,Target,Weight
doc_0,topic_2,0.5141714215278625
doc_1,topic_3,0.7192208170890808
doc_2,topic_0,0.6860488057136536
doc_3,topic_3,0.6307973265647888
doc_4,topic_3,0.7477641105651855
doc_5,topic_3,0.6718798279762268
doc_6,topic_2,0.9986473917961121
doc_7,topic_2,0.519517719745636
doc_8,topic_3,0.5093120336532593
doc_9,topic_2,0.8587218523025513
doc_10,topic_2,0.8445870280265808
doc_11,topic_2,0.6691516637802124
doc_12,topic_0,0.9681486487388611
doc_13,topic_2,0.9301704168319702
doc_14,topic_3,0.6212911009788513
doc_15,topic_2,0.5820931792259216
doc_16,topic_0,0.46309205889701843
doc_17,topic_0,0.830582857131958
doc_18,topic_0,0.9100123047828674
doc_19,topic_1,0.7423893213272095
doc_20,topic_0,0.954957127571106
doc_21,topic_0,0.9927682280540466
doc_22,topic_2,0.9136403203010559
doc_23,topic_1,0.6289911866188049
doc_24,topic_0,0.7531713247299194
doc_25,topic_2,0.853377640247345
doc_26,topic_3,0.8319057822227478
doc_27,topic_3,0.8044440746307373
doc_28,topic_1,0.9600992202758789
doc_29,topic_3,0.7914135456085205
doc_30,topic_0,0.8254395127296448
doc_31,topic_0,0.8017902374267578
doc_32,topic_0,0.9981725215911865
doc_33,topic_3,0.9961528778076172
doc_34,topic_0,0.9912193417549133
doc_35,topic_2,0.9343283772468567
doc_36,topic_0,0.6012747287750244
doc_37,topic_0,0.6771115064620972
doc_38,topic_3,0.7334592342376709
doc_39,topic_0,0.9978414177894592
doc_40,topic_0,0.9988529682159424
doc_41,topic_0,0.9101144075393677
doc_42,topic_0,0.6467775702476501
doc_43,topic_0,0.9423836469650269
doc_44,topic_0,0.7798019051551819
doc_45,topic_0,0.7242485284805298
doc_46,topic_3,0.5207524299621582
doc_47,topic_2,0.7522143721580505
doc_48,topic_0,0.520241916179657
doc_49,topic_0,0.9468168616294861
doc_50,topic_0,0.4180017411708832
doc_51,topic_0,0.5923935174942017
doc_52,topic_3,0.9768233895301819
doc_53,topic_0,0.9762076139450073
doc_54,topic_3,0.7236747741699219
doc_55,topic_3,0.8168364763259888
doc_56,topic_0,0.9367043972015381
doc_57,topic_0,0.8616312146186829
doc_58,topic_0,0.7503901124000549
doc_59,topic_3,0.999356746673584
doc_60,topic_2,0.8382664322853088
doc_61,topic_3,0.7982007265090942
doc_62,topic_2,0.5114653706550598
doc_63,topic_0,0.6196290850639343
doc_64,topic_2,0.9768041372299194
doc_65,topic_3,0.6438770294189453
doc_66,topic_3,0.8256866931915283
doc_67,topic_3,0.6473783254623413
doc_68,topic_2,0.6339062452316284
doc_69,topic_0,0.5211554765701294
doc_70,topic_2,0.9888167977333069
doc_71,topic_0,0.6257996559143066
doc_72,topic_0,0.4758264124393463
doc_73,topic_1,0.6538605093955994
doc_74,topic_2,0.618631899356842
doc_75,topic_0,0.5420923233032227
doc_76,topic_3,0.7219129204750061
doc_77,topic_1,0.7687922716140747
doc_78,topic_2,0.47885698080062866
doc_79,topic_3,0.4446493983268738
doc_80,topic_0,0.8168068528175354
doc_81,topic_3,0.4426034986972809
doc_82,topic_0,0.6980172395706177
doc_83,topic_3,0.48287129402160645
doc_84,topic_0,0.95518958568573
doc_85,topic_0,0.9106705188751221
doc_86,topic_0,0.9099642038345337
doc_87,topic_1,0.9634727239608765
doc_88,topic_2,0.6698976159095764
doc_89,topic_2,0.9597265720367432
doc_90,topic_0,0.707476794719696
doc_91,topic_2,0.947976291179657
doc_92,topic_3,0.7993878722190857
doc_93,topic_3,0.6059865355491638
doc_94,topic_0,0.7188419103622437
doc_95,topic_0,0.7585689425468445
doc_96,topic_3,0.5963993072509766
doc_97,topic_1,0.8825216293334961
doc_98,topic_3,0.6215009093284607
doc_99,topic_0,0.6082494258880615
doc_100,topic_0,0.4899018406867981
doc_101,topic_2,0.7571340799331665
doc_102,topic_3,0.6086592674255371
doc_103,topic_1,0.8581973314285278
doc_104,topic_0,0.8707223534584045
doc_105,topic_0,0.9713655114173889
doc_106,topic_0,0.8200049996376038
doc_107,topic_0,0.7319521307945251
doc_108,topic_0,0.839070737361908
doc_109,topic_3,0.784929096698761
doc_110,topic_3,0.8765556216239929
doc_111,topic_3,0.6392244696617126
doc_112,topic_3,0.9709512591362
doc_113,topic_0,0.994857668876648
doc_114,topic_0,0.9744091629981995
doc_115,topic_0,0.7501256465911865
doc_116,topic_3,0.5613468289375305
doc_117,topic_2,0.5261661410331726
doc_118,topic_3,0.45626214146614075
doc_119,topic_0,0.83821040391922
doc_120,topic_0,0.815291166305542
doc_121,topic_1,0.8879413604736328
doc_122,topic_0,0.7650579214096069
doc_123,topic_3,0.9616572260856628
doc_124,topic_0,0.7314176559448242
doc_125,topic_2,0.9991264939308167
doc_126,topic_3,0.985554039478302
doc_127,topic_0,0.8423631191253662
doc_128,topic_0,0.5484293103218079
doc_129,topic_2,0.8874391317367554
doc_130,topic_3,0.5653310418128967
doc_131,topic_0,0.645114541053772
doc_132,topic_3,0.9328531622886658
doc_133,topic_3,0.7903186082839966
doc_134,topic_0,0.6601683497428894
doc_135,topic_3,0.7696223258972168
doc_136,topic_3,0.6679965853691101
doc_137,topic_0,0.803336501121521
doc_138,topic_2,0.9000834822654724
doc_139,topic_1,0.5359121561050415
doc_140,topic_0,0.8756591081619263
doc_141,topic_3,0.9159001708030701
doc_142,topic_0,0.7506319284439087
doc_143,topic_0,0.98060542345047
doc_144,topic_3,0.9524815082550049
doc_145,topic_2,0.8554772734642029
doc_146,topic_2,0.5397230982780457
doc_147,topic_0,0.9386436939239502
doc_148,topic_2,0.6215659379959106
doc_149,topic_2,0.9982674717903137
doc_150,topic_2,0.8981730341911316
doc_151,topic_3,0.8775558471679688
doc_152,topic_3,0.9942662119865417
doc_153,topic_2,0.9166954159736633
doc_154,topic_3,0.6130160689353943
doc_155,topic_1,0.8568721413612366
doc_156,topic_0,0.7112454771995544
doc_157,topic_3,0.8158089518547058
doc_158,topic_0,0.680547297000885
doc_159,topic_0,0.7794380784034729
doc_160,topic_0,0.5549047589302063
doc_161,topic_0,0.5209565162658691
doc_162,topic_2,0.49647900462150574
doc_163,topic_2,0.5643972754478455
doc_164,topic_2,0.9613988995552063
doc_165,topic_0,0.8890655636787415
doc_166,topic_0,0.9979026317596436
doc_167,topic_3,0.791061282157898
doc_168,topic_3,0.7913044691085815
doc_169,topic_3,0.9692675471305847
doc_170,topic_3,0.9431154727935791
doc_171,topic_0,0.9113040566444397
doc_172,topic_2,0.8514320850372314
doc_173,topic_3,0.8240544199943542
doc_174,topic_0,0.7980174422264099
doc_175,topic_0,0.8833332061767578
doc_176,topic_3,0.7562940120697021
doc_177,topic_1,0.9276301264762878
doc_178,topic_2,0.639072597026825
doc_179,topic_3,0.7133605480194092
doc_180,topic_2,0.7360195517539978
doc_181,topic_0,0.4870266616344452
doc_182,topic_3,0.9220901131629944
doc_183,topic_3,0.773244321346283
doc_184,topic_2,0.9903342723846436
doc_185,topic_2,0.4418984055519104
doc_186,topic_3,0.6012266874313354
doc_187,topic_3,0.7028088569641113
doc_188,topic_2,0.7028655409812927
doc_189,topic_0,0.5529500246047974
doc_190,topic_3,0.6631805300712585
doc_191,topic_0,0.9444800019264221
doc_192,topic_2,0.6011295318603516
doc_193,topic_3,0.828730046749115
doc_194,topic_3,0.638392448425293
doc_195,topic_3,0.8497486710548401
doc_196,topic_3,0.7367030382156372
doc_197,topic_3,0.7662800550460815
doc_198,topic_3,0.7612945437431335
doc_199,topic_3,0.4003300368785858
doc_200,topic_0,0.9271713495254517
doc_201,topic_0,0.6628285646438599
doc_202,topic_3,0.761858344078064
doc_203,topic_2,0.9990641474723816
doc_204,topic_1,0.9166770577430725
doc_205,topic_0,0.34111079573631287
doc_206,topic_0,0.725523054599762
doc_207,topic_3,0.4051772654056549
doc_208,topic_0,0.8195163607597351
doc_209,topic_0,0.8766200542449951
doc_210,topic_2,0.8810122013092041
doc_211,topic_2,0.7024166584014893
doc_212,topic_1,0.9956191182136536
doc_213,topic_3,0.6689631938934326
doc_214,topic_3,0.5996288657188416
doc_215,topic_2,0.7918128967285156
doc_216,topic_0,0.8669545650482178
doc_217,topic_3,0.6430072784423828
doc_218,topic_3,0.6849384307861328
doc_219,topic_3,0.7100828289985657
