Id,Label,Type
topic_0,topic_0,Topic
topic_3,topic_3,Topic
topic_1,topic_1,Topic
topic_2,topic_2,Topic
의약품,의약품,Word
생산,생산,Word
미국,미국,Word
행정,행정,Word
본부,본부,Word
점검,점검,Word
강화,강화,Word
안전,안전,Word
부장,부장,Word
성분,성분,Word
시장,시장,Word
정책,정책,Word
식품,식품,Word
정부,정부,Word
소비자,소비자,Word
확인,확인,Word
관리,관리,Word
제품,제품,Word
국내,국내,Word
산업,산업,Word
한국,한국,Word
기업,기업,Word
지역,지역,Word
위생,위생,Word
사업,사업,Word
건강,건강,Word
과장,과장,Word
국민,국민,Word
팀장,팀장,Word
중국,중국,Word
교육,교육,Word
MBC,MBC,Agency
충청투데이,충청투데이,Agency
경남신문,경남신문,Agency
YTN,YTN,Agency
한라일보,한라일보,Agency
헤럴드경제,헤럴드경제,Agency
전북일보,전북일보,Agency
매일경제,매일경제,Agency
서울경제,서울경제,Agency
경남도민일보,경남도민일보,Agency
전자신문,전자신문,Agency
전북도민일보,전북도민일보,Agency
전남일보,전남일보,Agency
강원도민일보,강원도민일보,Agency
한국일보,한국일보,Agency
대구일보,대구일보,Agency
경기일보,경기일보,Agency
디지털타임스,디지털타임스,Agency
경상일보,경상일보,Agency
광주일보,광주일보,Agency
중부매일,중부매일,Agency
파이낸셜뉴스,파이낸셜뉴스,Agency
경인일보,경인일보,Agency
울산매일,울산매일,Agency
무등일보,무등일보,Agency
서울신문,서울신문,Agency
부산일보,부산일보,Agency
충청일보,충청일보,Agency
국민일보,국민일보,Agency
영남일보,영남일보,Agency
제민일보,제민일보,Agency
SBS,SBS,Agency
중도일보,중도일보,Agency
매일신문,매일신문,Agency
세계일보,세계일보,Agency
경향신문,경향신문,Agency
국제신문,국제신문,Agency
OBS,OBS,Agency
내일신문,내일신문,Agency
문화일보,문화일보,Agency
한국경제,한국경제,Agency
충북일보,충북일보,Agency
한겨레,한겨레,Agency
대전일보,대전일보,Agency
