Id,Label,Type
doc_1809,Document 1809,Document
doc_33247,Document 33247,Document
doc_56614,Document 56614,Document
doc_7911,Document 7911,Document
doc_15986,Document 15986,Document
doc_2722,Document 2722,Document
doc_30984,Document 30984,Document
doc_17439,Document 17439,Document
doc_32147,Document 32147,Document
doc_55065,Document 55065,Document
doc_17946,Document 17946,Document
doc_48936,Document 48936,Document
doc_56967,Document 56967,Document
doc_42675,Document 42675,Document
doc_21081,Document 21081,Document
doc_7738,Document 7738,Document
doc_53460,Document 53460,Document
doc_785,Document 785,Document
doc_42563,Document 42563,Document
doc_43729,Document 43729,Document
doc_50392,Document 50392,Document
doc_20227,Document 20227,Document
doc_24326,Document 24326,Document
doc_37950,Document 37950,Document
doc_56907,Document 56907,Document
doc_40203,Document 40203,Document
doc_52241,Document 52241,Document
doc_24084,Document 24084,Document
doc_20085,Document 20085,Document
doc_12537,Document 12537,Document
doc_16668,Document 16668,Document
doc_19241,Document 19241,Document
doc_21158,Document 21158,Document
doc_46366,Document 46366,Document
doc_29340,Document 29340,Document
doc_25619,Document 25619,Document
doc_39407,Document 39407,Document
doc_9460,Document 9460,Document
doc_46462,Document 46462,Document
doc_2917,Document 2917,Document
doc_27208,Document 27208,Document
doc_17396,Document 17396,Document
doc_53106,Document 53106,Document
doc_56325,Document 56325,Document
doc_2007,Document 2007,Document
doc_36584,Document 36584,Document
doc_43700,Document 43700,Document
doc_24742,Document 24742,Document
doc_43257,Document 43257,Document
doc_47206,Document 47206,Document
doc_16407,Document 16407,Document
doc_3244,Document 3244,Document
doc_22000,Document 22000,Document
doc_48234,Document 48234,Document
doc_32567,Document 32567,Document
doc_26111,Document 26111,Document
doc_13493,Document 13493,Document
doc_56345,Document 56345,Document
doc_5998,Document 5998,Document
word_교육,교육,Word
doc_17630,Document 17630,Document
doc_24848,Document 24848,Document
doc_7472,Document 7472,Document
doc_942,Document 942,Document
doc_29589,Document 29589,Document
doc_32259,Document 32259,Document
doc_46503,Document 46503,Document
doc_13627,Document 13627,Document
doc_2616,Document 2616,Document
doc_6824,Document 6824,Document
doc_5865,Document 5865,Document
doc_9185,Document 9185,Document
doc_13591,Document 13591,Document
doc_57484,Document 57484,Document
doc_31681,Document 31681,Document
doc_17587,Document 17587,Document
doc_44743,Document 44743,Document
doc_1233,Document 1233,Document
doc_6998,Document 6998,Document
doc_46328,Document 46328,Document
doc_33432,Document 33432,Document
doc_34278,Document 34278,Document
doc_53211,Document 53211,Document
doc_18259,Document 18259,Document
doc_12652,Document 12652,Document
doc_26153,Document 26153,Document
doc_30257,Document 30257,Document
doc_29104,Document 29104,Document
doc_15984,Document 15984,Document
doc_32089,Document 32089,Document
doc_37931,Document 37931,Document
doc_830,Document 830,Document
doc_39014,Document 39014,Document
doc_32658,Document 32658,Document
doc_24114,Document 24114,Document
doc_3144,Document 3144,Document
doc_32885,Document 32885,Document
doc_17406,Document 17406,Document
doc_35461,Document 35461,Document
doc_6830,Document 6830,Document
doc_6671,Document 6671,Document
doc_42621,Document 42621,Document
doc_18204,Document 18204,Document
doc_10490,Document 10490,Document
doc_48797,Document 48797,Document
doc_42049,Document 42049,Document
doc_1738,Document 1738,Document
doc_28967,Document 28967,Document
doc_6346,Document 6346,Document
doc_10264,Document 10264,Document
doc_49381,Document 49381,Document
doc_1436,Document 1436,Document
doc_39304,Document 39304,Document
doc_44988,Document 44988,Document
doc_7882,Document 7882,Document
doc_47114,Document 47114,Document
doc_33488,Document 33488,Document
doc_43653,Document 43653,Document
doc_53250,Document 53250,Document
doc_28718,Document 28718,Document
doc_25145,Document 25145,Document
doc_49617,Document 49617,Document
doc_4632,Document 4632,Document
doc_19218,Document 19218,Document
doc_42284,Document 42284,Document
doc_53092,Document 53092,Document
doc_45034,Document 45034,Document
doc_17778,Document 17778,Document
doc_31083,Document 31083,Document
doc_12426,Document 12426,Document
doc_24783,Document 24783,Document
doc_5793,Document 5793,Document
doc_28592,Document 28592,Document
doc_48114,Document 48114,Document
doc_18125,Document 18125,Document
doc_7786,Document 7786,Document
doc_50273,Document 50273,Document
doc_56392,Document 56392,Document
doc_40252,Document 40252,Document
doc_16311,Document 16311,Document
doc_28122,Document 28122,Document
doc_37072,Document 37072,Document
doc_3585,Document 3585,Document
doc_22689,Document 22689,Document
doc_2727,Document 2727,Document
doc_12272,Document 12272,Document
doc_13554,Document 13554,Document
doc_7303,Document 7303,Document
doc_42834,Document 42834,Document
doc_28934,Document 28934,Document
doc_45301,Document 45301,Document
doc_13821,Document 13821,Document
doc_48334,Document 48334,Document
doc_15537,Document 15537,Document
doc_39605,Document 39605,Document
doc_52346,Document 52346,Document
doc_1343,Document 1343,Document
doc_4624,Document 4624,Document
doc_19128,Document 19128,Document
doc_29241,Document 29241,Document
doc_30991,Document 30991,Document
doc_26706,Document 26706,Document
doc_4917,Document 4917,Document
doc_54783,Document 54783,Document
doc_41364,Document 41364,Document
doc_57628,Document 57628,Document
doc_19415,Document 19415,Document
doc_24143,Document 24143,Document
doc_31356,Document 31356,Document
doc_10176,Document 10176,Document
doc_40040,Document 40040,Document
doc_20672,Document 20672,Document
doc_24669,Document 24669,Document
doc_19530,Document 19530,Document
doc_38902,Document 38902,Document
doc_38658,Document 38658,Document
doc_52084,Document 52084,Document
doc_23305,Document 23305,Document
doc_45012,Document 45012,Document
doc_9401,Document 9401,Document
doc_15998,Document 15998,Document
doc_9112,Document 9112,Document
doc_10195,Document 10195,Document
doc_39040,Document 39040,Document
doc_54349,Document 54349,Document
doc_19345,Document 19345,Document
doc_11900,Document 11900,Document
doc_1479,Document 1479,Document
doc_17108,Document 17108,Document
doc_37199,Document 37199,Document
doc_32549,Document 32549,Document
doc_11425,Document 11425,Document
doc_46564,Document 46564,Document
doc_19492,Document 19492,Document
doc_52781,Document 52781,Document
doc_48132,Document 48132,Document
doc_24328,Document 24328,Document
doc_31165,Document 31165,Document
doc_5736,Document 5736,Document
doc_21115,Document 21115,Document
doc_14175,Document 14175,Document
doc_22846,Document 22846,Document
doc_49509,Document 49509,Document
doc_30206,Document 30206,Document
doc_33984,Document 33984,Document
doc_10508,Document 10508,Document
doc_50400,Document 50400,Document
doc_10799,Document 10799,Document
doc_9565,Document 9565,Document
doc_50728,Document 50728,Document
doc_5235,Document 5235,Document
doc_21446,Document 21446,Document
doc_44824,Document 44824,Document
doc_45259,Document 45259,Document
doc_52288,Document 52288,Document
doc_17139,Document 17139,Document
doc_8604,Document 8604,Document
doc_16697,Document 16697,Document
doc_19227,Document 19227,Document
doc_29285,Document 29285,Document
doc_35434,Document 35434,Document
doc_37588,Document 37588,Document
doc_48451,Document 48451,Document
doc_38893,Document 38893,Document
doc_46793,Document 46793,Document
doc_48584,Document 48584,Document
doc_54220,Document 54220,Document
doc_38697,Document 38697,Document
doc_41410,Document 41410,Document
doc_12059,Document 12059,Document
doc_28288,Document 28288,Document
doc_36076,Document 36076,Document
doc_53635,Document 53635,Document
doc_14852,Document 14852,Document
doc_5233,Document 5233,Document
doc_510,Document 510,Document
doc_4429,Document 4429,Document
doc_38838,Document 38838,Document
