Source,Target,Type,Weight
topic_0,식품,Undirected,0.0147
topic_0,기업,Undirected,0.0069
topic_0,생산,Undirected,0.0066
topic_0,지역,Undirected,0.0065
topic_0,사업,Undirected,0.0065
topic_0,산업,Undirected,0.0059
topic_0,중국,Undirected,0.0055
topic_0,시장,Undirected,0.0052
topic_0,한국,Undirected,0.0048
topic_0,안전,Undirected,0.0046
topic_1,제품,Undirected,0.0145
topic_1,식품,Undirected,0.0136
topic_1,안전,Undirected,0.0068
topic_1,건강,Undirected,0.0051
topic_1,국내,Undirected,0.0046
topic_1,미국,Undirected,0.0045
topic_1,소비자,Undirected,0.0038
topic_1,성분,Undirected,0.0034
topic_1,확인,Undirected,0.0033
topic_1,의약품,Undirected,0.0033
topic_2,식품,Undirected,0.0249
topic_2,안전,Undirected,0.0242
topic_2,관리,Undirected,0.0133
topic_2,정부,Undirected,0.006
topic_2,위생,Undirected,0.0057
topic_2,국민,Undirected,0.0056
topic_2,교육,Undirected,0.0046
topic_2,지역,Undirected,0.0046
topic_2,점검,Undirected,0.0045
topic_2,강화,Undirected,0.0044
topic_3,과장,Undirected,0.0163
topic_3,정책,Undirected,0.0116
topic_3,관리,Undirected,0.0108
topic_3,팀장,Undirected,0.0094
topic_3,본부,Undirected,0.0093
topic_3,안전,Undirected,0.0081
topic_3,사업,Undirected,0.0075
topic_3,교육,Undirected,0.0073
topic_3,부장,Undirected,0.0066
topic_3,행정,Undirected,0.0061
